"pdb","vvolume","variable","value"
"1A8H_A","vvolumeCB","hpshh",0.493236084584713
"1A8H_A","vvolumeCB","r4s_JC",0.320780740897275
"1A8H_A","vvolumeCB","rsa",0.875857969150736
"1A8H_A","vvolumeCB","seqent",0.279607077833422
"1A8H_A","vvolumeN","ddgent",0.602569834279337
"1A8H_A","vvolumeN","hbe",0.481464881911276
"1A8H_A","vvolumeN","hpshh",0.366622136247343
"1A8H_A","vvolumeN","r4s_JC",0.275407517742336
"1A8H_A","vvolumeN","rsa",0.733321033567527
"1A8H_A","vvolumeN","seqent",0.231558847254105
"1A8H_A","vvolumeO","ddgent",0.573738230952924
"1A8H_A","vvolumeO","hbe",0.553291911174137
"1A8H_A","vvolumeO","hpshh",0.355316680335454
"1A8H_A","vvolumeO","r4s_JC",0.225363110751441
"1A8H_A","vvolumeO","rsa",0.711236026860788
"1A8H_A","vvolumeO","seqent",0.189677998432828
"1A8H_A","vvolumeSC","ddgent",0.768550946203785
"1A8H_A","vvolumeSC","hbe",0.341120659028034
"1A8H_A","vvolumeSC","hpshh",0.523636693511263
"1A8H_A","vvolumeSC","r4s_JC",0.351186152687886
"1A8H_A","vvolumeSC","rsa",0.908637025304426
"1A8H_A","vvolumeSC","seqent",0.298189632978778
"1A8S_A","vvolumeAA","ddgent",0.735953505489787
"1A8S_A","vvolumeAA","hbe",0.352651585140593
"1A8S_A","vvolumeAA","hpshh",0.294309192803104
"1A8S_A","vvolumeAA","r4s_JC",0.446604682584601
"1A8S_A","vvolumeAA","rsa",0.917602388642121
"1A8S_A","vvolumeAA","seqent",0.385217680017316
"1A8S_A","vvolumeC","ddgent",0.655246910667692
"1A8S_A","vvolumeC","hbe",0.402800903136625
"1A8S_A","vvolumeC","hpshh",0.251345553528708
"1A8S_A","vvolumeC","r4s_JC",0.421708130637085
"1A8S_A","vvolumeC","rsa",0.83033728390062
"1A8S_A","vvolumeC","seqent",0.364018259054013
"1A8S_A","vvolumeCA","ddgent",0.689753891449898
"1A8S_A","vvolumeCA","hbe",0.359061093904584
"1A8S_A","vvolumeCA","hpshh",0.236487614015683
"1A8S_A","vvolumeCA","r4s_JC",0.467508113075479
"1A8S_A","vvolumeCA","rsa",0.835304411831471
"1A8S_A","vvolumeCA","seqent",0.409261012061962
"1A8S_A","vvolumeCB","ddgent",0.754336743119482
"1A8S_A","vvolumeCB","hbe",0.349496384254794
"1A8S_A","vvolumeCB","hpshh",0.287801951628603
"1A8S_A","vvolumeCB","r4s_JC",0.481185291346859
"1A8S_A","vvolumeCB","rsa",0.894550532369898
"1A8S_A","vvolumeCB","seqent",0.419217207664479
"1A8S_A","vvolumeN","ddgent",0.65877091993451
"1A8S_A","vvolumeN","hbe",0.447975109106783
"1A8S_A","vvolumeN","hpshh",0.253715290364258
