pdb,r.wcnCA.r4sJC,r.wcnSC.r4sJC,r.rsa.r4sJC,r.vareaSC.r4sJC,r.ddgent.r4sJC,r.vareaCA.r4sJC,r.bfSC.r4sJC,r.hbe.r4sJC,r.distance.r4sJC,r.bfSC.distance,r.bfSC.wcnSC,r.distance.wcnSC,r.distance.vareaSC,r.wcnSC.vareaSC
1LDM_A,-0.528243223,-0.592009094,0.467912064,0.53055984,0.443940518,0.4664002,0.500608683,-0.152470463,0.569909241,0.664991901,-0.616609934,-0.914329001,0.774170498,-0.93703489
1LJL_A,-0.602082402,-0.727274964,0.625155942,0.674207084,0.522020345,0.606974294,0.523306822,-0.076846991,0.644301262,0.757134469,-0.748361988,-0.947206708,0.847716069,-0.942197763
1LVH_A,-0.654369023,-0.719766366,0.535301752,0.643224517,0.553401322,0.642163795,0.389540096,-0.088906936,0.693492554,0.650587813,-0.73928558,-0.812047811,0.612102586,-0.901534658
1M53_A,-0.6625498,-0.704743118,0.646845802,0.649802524,0.622377179,0.614484466,0.350496437,-0.135836923,0.60322752,0.512278209,-0.612612316,-0.907420069,0.660467051,-0.865587326
1MBB_A,-0.672259648,-0.75429508,0.559982681,0.6372201,0.55950192,0.612261623,0.593485067,-0.004655683,0.718887682,0.640381156,-0.723886254,-0.87890583,0.62420827,-0.876657594
1MJ9_A,-0.551216916,-0.586864448,0.438136531,0.492442826,0.414290391,0.45598903,0.586847344,-0.075710983,0.623342813,0.710161696,-0.767344024,-0.837041088,0.632003582,-0.919287507
1MLA_A,-0.616308314,-0.690700675,0.554026482,0.597231066,0.526841587,0.563520435,0.421460678,-0.114551847,0.656851157,0.597058631,-0.650788364,-0.877830457,0.668961227,-0.906938453
1MRQ_A,-0.545387079,-0.60496845,0.580774498,0.571974541,0.580633392,0.551347495,0.526254074,-0.195394629,0.513912967,0.581975541,-0.65503574,-0.924914397,0.787077239,-0.926133179
1MUD_A,-0.479124907,-0.587966136,0.511933239,0.569804066,0.590929834,0.506785038,0.302799058,-0.108934965,0.55477248,0.226708052,-0.510699413,-0.813314798,0.627740533,-0.9205689
1MUG_A,-0.56451586,-0.684227364,0.535574095,0.602510013,0.563119998,0.535021102,0.127102309,-0.095603999,0.66706294,0.479706729,-0.471255624,-0.970910694,0.906798814,-0.951406513
1NDH_A,-0.492329242,-0.589807532,0.486103401,0.555748401,0.547896644,0.467701242,0.38776989,-0.088296368,0.567119704,0.504957318,-0.59345862,-0.90677266,0.747890993,-0.91443504
1NDI_A,-0.636026412,-0.70918169,0.656555522,0.686408801,0.647298906,0.647816769,0.45215799,-0.155431986,0.590042129,0.49763126,-0.538114374,-0.87372242,0.604194156,-0.863639058
1NLU_A,-0.624063413,-0.664766462,0.585944055,0.610161311,0.609217873,0.574971736,0.594797999,-0.198983241,0.644245798,0.737705407,-0.783404815,-0.96766303,0.845180044,-0.926439242
1O8A_A,-0.562015542,-0.660362765,0.643401264,0.649174956,0.689232567,0.578744646,0.5790126,-0.073200318,0.562636619,0.614892941,-0.693263233,-0.927284541,0.651485507,-0.839751267
1O98_A,-0.683781281,-0.753423416,0.587671194,0.645751981,0.539579483,0.578926585,0.584951386,-0.053277739,0.739117712,0.569580124,-0.746834137,-0.838232952,0.587743546,-0.884739735
